year,regionid,unemploymentrate,lis,MA_2005_penetration,MA_2004_penetration,MA_2003_penetration,Contract_ID,Plan_ID,Plan_Type,Benefit_Type,Part_D_Total_Premium,Part_D_Basic_Premium,Part_D_Basic_P_Below_Bench,Extra_Coverage_in_Gap,Part_D_Drug_Deductible,enrol_tot_num,enrol_tot_num_croWlagged,enrol_lis_num,enrol_lis_num_croWlagged,top_drug,perc_drug_frf,n_medications,in_area_flag,drug_frf,Parent_Organization,firm_name_price,firm_name_enrollment,WellPoint_Dum_price,WellCare_Dum_price,UnivHeal_Dum_price,UnivAmer_Dum_price,Munich_Dum_price,Medco_Dum_price,Caremark_Dum_price,CVS_Dum_price,LDS_preMerg_Dum_price,UnitHeal_Dum_price,Torchmarck_Dum_price,Kaiser_Dum_price,Humana_Dum_price,HealthSpring_Dum_price,HealNet_preMerg_Dum_price,HISC_Dum_price,Envision_Dum_price,Coventry_Dum_price,Aetna_Dum_price,CIGNA_Dum_price,All_OtherFirms_Dum_price,regionid_str,year_str,Plan_ID_str,new_id1,new_id4,basic,pdp,sample,lis_wcross,tot_wcross,lis_denominator3,enrol_tot_denominator3,lis_weight,enrol_tot_weight,true_weight_cw,check,true_weight_check_cw,tot_enrollmentFDC_TEMPORANEO2,weig_reg_basic_prem,mean_w_reg_basprem,enrol_tot_mapd,enrol_tot_denominator,mapd_regio_share,mapd_regio_share_t1,mapd_regio_2006share,conc_weig_basicpdpd_c4,logmean_w_reg_bpr,logmean_w_reg_bpr_ch,year2009,regio_2006share2
2007.0,1.0,4.1172824,30.72,0.0040633623,0.0034067584,0.0034570035,H0540,28,PFFS,Enhanced Alternative,11.0,11.0,Below Regional Benchmark,,0,0.3801001,,0.19005005,,,,,,,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2007.0,28,2007.01.0,1.0H0540028,0,0,0,,,98935.0,197968.0,0.0,0.0,0.0,1.0,0.0,213857.19672512,1.955090202259666e-05,26.10867448193412,0.3801001,213857.19672512,0.0044655967375626,0.0,0.0051961483236773,0.5697233896387293,3.2622676147404097,,0,0.0
2008.0,1.0,4.632496,30.64,0.0040633623,0.0034067584,0.0034570035,H0540,20,PFFS,Enhanced Alternative,0.0,0.0,,Y,0,68.32611,0.3801001,8.684141,0.19005005,98.0,0.9616464,,,1028.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,20,2008.01.0,1.0H0540020,0,0,0,0.19005005,0.3801001,99441.4247215166,213833.14621574504,1.911175855859173e-06,1.7775546341936223e-06,1.7775546341936223e-06,1.0,1.7775546341936223e-06,225001.92104851,0.0,28.954741323106237,68.32611,225001.92104851,0.0049999573103975,0.0,0.0051961483236773,0.6047846289906839,3.3657339668822344,0.10346635214182465,0,0.0
2009.0,1.0,7.1494102,28.12,0.0040633623,0.0034067584,0.0034570035,H0540,20,PFFS,Enhanced Alternative,0.0,0.0,,Y,0,124.76633,68.32611,16.784525,8.684141,100.0,0.952007,,,1091.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009.0,20,2009.01.0,1.0H0540020,0,0,0,8.684141,68.32611,113882.04817124,222418.60108613,7.625557442505773e-05,0.0003071960243718,7.625557442505773e-05,1.0000000000000002,7.625557442505771e-05,233145.74184692,0.0,27.165672072569755,124.76633,233145.74184692,0.0084753853291363,0.0,0.0051961483236773,0.6118172365080088,3.3019541200828617,-0.06377984679937265,1,0.0051961483236773
2010.0,1.0,7.131522,26.96,0.0040633623,0.0034067584,0.0034570035,H0540,89,PFFS,Enhanced Alternative,22.1,20.0,,Y,0,13.755178,,3.0451715,,100.0,0.95720524,,,1096.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,89,2010.01.0,1.0H0540089,0,0,0,4.912899,22.118412,118082.19254375,232837.4091808,4.160575692376095e-05,9.49950958388516e-05,4.160575692376095e-05,1.0,4.160575692376095e-05,241885.6747005,0.0011373288655503,26.6851095183191,13.755178,241885.6747005,0.021878104218253,0.0,0.0051961483236773,0.8093599715688754,3.284105713892873,-0.01784840618998862,1,0.0051961483236773
2011.0,1.0,6.4499197,28.9,0.0040633623,0.0034067584,0.0034570035,H1365,1,Local PPO,Enhanced Alternative,19.6,19.6,,,0,1440.0,366.0,155.0,22.0,89.0,0.7986577,,,952.0,"Martin's Point Health Care, Inc.",All Others,All Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2011.0,1,2011.01.0,1.0H1365001,0,0,0,22.0,366.0,122399.8243527,240332.252225,0.0001797388200215,0.0015228917326391,0.0001797388200215,1.0,0.0001797388200215,251315.173384,0.1123051967772547,27.860000727373357,1440.0,251315.173384,0.0378727630004928,0.0,0.0051961483236773,0.8967251430339068,3.32719199445982,0.043086280566946744,1,0.0051961483236773
2007.0,2.0,4.560964,27.35,0.13757166,0.13744971,0.1424989,H0540,20,PFFS,Enhanced Alternative,11.0,11.0,Below Regional Benchmark,,0,370.43192,,33.08205,,74.0,0.79188347,,,761.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2007.0,20,2007.02.0,2.0H0540020,0,0,0,36.776485,233.22809,408876.47994023,846434.42481512,8.99452201441766e-05,0.0002755418295409,0.0002755418295409,1.0,0.0002755418295409,919463.6830328,0.0044316607552781,22.70606177349071,370.43192,919463.6830328,0.0405149226526558,0.0,0.0412732397482375,0.3776110595570502,3.1226319273186953,,0,0.0
2008.0,2.0,5.5991936,29.17,0.13757166,0.13744971,0.1424989,H0540,20,PFFS,Enhanced Alternative,0.0,0.0,,Y,0,1042.323,382.45776,132.47762,39.094982,98.0,0.9616464,,,1028.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,20,2008.02.0,2.0H0540020,0,0,0,39.094982,382.45776,406502.44904332,917318.22928768,9.617403804579228e-05,0.000416930295059,0.000416930295059,1.0,0.000416930295059,966058.956687,0.0,26.464618601796506,1042.323,966058.956687,0.0378558676433335,0.0,0.0412732397482375,0.3738179282300732,3.2758086937871185,0.15317676646842315,0,0.0
2009.0,2.0,8.354789,31.74,0.13757166,0.13744971,0.1424989,H0540,20,PFFS,Enhanced Alternative,0.0,0.0,,Y,0,1144.2482,1120.2893,153.93304,139.87138,100.0,0.952007,,,1091.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2009.0,20,2009.02.0,2.0H0540020,0,0,0,139.87138,1120.2893,415290.68619565,958034.29094862,0.0003368035562784,0.0011693624232288,0.0003368035562784,1.0,0.0003368035562784,1003282.8313317,0.0,29.12882160355537,1144.2482,1003282.8313317,0.0360247368651029,0.0,0.0412732397482375,0.535085441081408,3.371728117134058,0.09591942334693959,1,0.0412732397482375
2010.0,2.0,8.811131,34.57,0.13757166,0.13744971,0.1424989,H0540,20,PFFS,Enhanced Alternative,0.0,0.0,,Y,0,1274.2368,1144.2482,199.9098,153.93304,100.0,0.95720524,,,1096.0,"Wellpoint, Inc.",WellPoint,WellPoint,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2010.0,20,2010.02.0,2.0H0540020,0,0,0,153.93304,1144.2482,413032.9345890701,978106.4693204,0.0003726895051435,0.0011698605784654,0.0003726895051435,1.0,0.0003726895051435,1027937.342244,0.0,32.21779589262276,1274.2368,1027937.342244,0.0342433323057979,0.0,0.0412732397482375,0.491169064282576,3.472518967358697,0.10079085022463907,1,0.0412732397482375
2011.0,2.0,8.040592,33.66,0.13757166,0.13744971,0.1424989,H0710,1,Local PPO,Defined Standard Benefit,30.7,30.7,Below Regional Benchmark,,310,1518.0,1364.0,1432.0,1196.0,90.0,0.9312081,,,1110.0,"UnitedHealth Group, Inc.",United Health Group,United Health Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2011.0,1,2011.02.0,2.0H0710001,1,0,0,1196.0,1364.0,425524.3093296,987183.677994,0.0028106502349636,0.0013817084200294,0.0028106502349636,1.0,0.0028106502349636,1061945.101351,0.0438841894375824,31.29900500705926,1518.0,1061945.101351,0.0327380388645052,0.0,0.0412732397482375,0.4897957541564641,3.443586308128985,-0.028932659229712332,1,0.0412732397482375
